smiles,InChIKey
CCOC(=O)C1(CCN(C)CC1)c1ccccc1,XADCESSVHJOZHK-UHFFFAOYSA-N
CCN(CC)CC(=O)NC1=C(C)C=CC=C1C,NNJVILVZKWQKPM-UHFFFAOYSA-N
CCCC(CCC)C(=O)O,NIJJYAXOARWZEE-UHFFFAOYSA-N
CCC(COC(=O)c1cc(OC)c(OC)c(OC)c1)(c1ccccc1)N(C)C,LORDFXWUHHSAQU-UHFFFAOYSA-N
COc1ccc(N(C(C)=O)c2cc3c(cc2[N+](=O)[O-])OC(C)(C)C(O)C3NC2CC2)cc1,XZEITPHZKJCCSQ-UHFFFAOYSA-N
COc1cc2nc(nc(N)c2cc1OC)N1CCN(CC1)C(=O)c1ccco1,IENZQIKPVFGBNW-UHFFFAOYSA-N
COc1ccc2cc3-c4cc5OCOc5cc4CC[n+]3cc2c1OC,YBHILYKTIRIUTE-UHFFFAOYSA-N
CCCc1nn(C)c2c(=O)[nH]c(nc12)c3cc(ccc3OCC)S(=O)(=O)N4CCN(C)CC4,BNRNXUUZRGQAQC-UHFFFAOYSA-N
CCCc1nn(C)c2c(=O)nc(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)[nH]c12,BNRNXUUZRGQAQC-UHFFFAOYSA-N
CC(=O)SC1CC2=CC(=O)CCC2(C)C2CCC3C(CCC34CCC(=O)O4)C12,UTCPYQMSANLUTE-UHFFFAOYSA-N
COc1ccc(cc1OC)C(=O)N1CCN(CC1)c1ccc2NC(=O)CCc2c1,ZVNYJIZDIRKMBF-UHFFFAOYSA-N
CCS(=O)(=O)NC1c2cc(C#N)ccc2C(=O)C(C)(C)C1O,UXXZYDHTCUOVTH-UHFFFAOYSA-N
CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,HTIQEAQVCYTUBX-UHFFFAOYSA-N
CN1CC(=O)C2C(Cc3c([nH]c4ccccc34)C2c2cccc3c2OCO3)C1=O,DILLBCAFAMFQHI-UHFFFAOYSA-N
CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C,UVTNFZQICZKOEM-UHFFFAOYSA-N
CN1CCN(CC1)[C@H]1N(O)c2cc(Cl)ccc2Nc2ccccc12,LTRSQBSUNYICJX-SFHVURJKSA-N
CCCCCCCCCC[N+](CC)(CC)CC,FMGOXRYKYRAOGN-UHFFFAOYSA-N
CCCCCCCC[N+](CC)(CC)CC,JHNACYHGMDXEMK-UHFFFAOYSA-N
C/C(=C(/F)C(=O)Nc1ccc(-c2ccc(S(N)(=O)=O)cc2)cc1)c1cccc(C(=N)N)c1,APJOCAPTSRIKGO-STZFKDTASA-N
COc1ccccc1OCCNCC(O)COc1cccc2c1C1C=CC=CC1=N2,WTZRZLGEZIFRDO-UHFFFAOYSA-N
O=C1N(Cc2ccccc2)C2C[S+]3CCCC3C2N1Cc1ccccc1,CHQOEHPMXSHGCL-UHFFFAOYSA-N
CC(C)(C)c1cn(-c2ccc(F)cc2)c2ccccc12,OCRUGJLMFZVFHV-UHFFFAOYSA-N
COc1ccccc1OCCNC[C@@H](O)COc1cccc2[nH]c3ccccc3c12,OGHNVEJMJSYVRP-QGZVFWFLSA-N
CNCCCC1c2ccccc2CCc2ccccc12,VQDUUNLXNKNTSM-UHFFFAOYSA-N
C1CN=C(N1)[C@@H]1CC1(c1ccccc1)c1ccccc1,IPOBOOXFSRWSHL-INIZCTEOSA-N
CC(C)CC(N(C)C)C1(CCC1)C1=CC=C(Cl)C=C1,UNAANXDKBXWMLN-UHFFFAOYSA-N
COCCCC\C(c1ccc(cc1)C(F)(F)F)=N/OCCN,CJOFXWAVKWHTFT-XSFVSMFZSA-N
OCCOCCN1CCN(CC1)C1=Nc2ccccc2Sc2ccccc12,URKOMYMAXPYINW-UHFFFAOYSA-N
COc1ccc(CN(CCN(C)C)c2ccccn2)cc1,YECBIJXISLIIDS-UHFFFAOYSA-N
CC(C)(C)N(CC(O)c1cc(Cl)cc2c1-c1ccc(Cl)cc1/C2=C\c1ccc(Cl)cc1)C(C)(C)C,PNRIEBLYDWPIDU-YDZHTSKRSA-N
CN(C)CCCn1cc(C2C(=O)NC(=O)C2c2c[nH]c3ccccc23)c2ccccc21,HIKMNTKMXMEJDB-UHFFFAOYSA-N
Cc1ccc(CCN(C)CCCN(C(=O)c2ccc([N+](=O)[O-])cc2)c2ccc(C)c(C)c2)cc1C,CVNCKFCEWFWLPQ-UHFFFAOYSA-N
CC(C)(C)c1ccc(C(=O)CCCN2CCC(OCc3ccccc3)CC2)cc1,SCMHOQQKHHUZOM-UHFFFAOYSA-N
COCC(=O)OC1(CCN(C)CCCC2=NC3C=CC=CC3=N2)CCc2cc(F)ccc2C1C(C)C,RLNMBDPMRDSIFQ-UHFFFAOYSA-N
