smiles,X10,X20,X40,X60,X80,X100,InChIKey
C=1([C@@H](C(=C(C)NC1C)C(OC)=O)c1cc(ccc1)[N+](=O)[O-])C(OCC)=O,1,1.0,1.0,1.0,1.0,1.0,PVHUJELLJLJGLN-MRXNPFEDSA-N
C1(\c2c(CCc3c1cccc3)cccc2)=C\CCN(C)C,1,1.0,1.0,1.0,1.0,1.0,KRMDCWKBEZIMAB-UHFFFAOYSA-N
c1(c2c(cccc2)oc1CCCC)C(c1cc(c(OCCN(CC)CC)c(c1)I)I)=O,1,1.0,1.0,1.0,1.0,1.0,IYIKLHRQXLHMJQ-UHFFFAOYSA-N
[H][C@H]1CC[C@@H](C#N)C1C(=O)C3CN(C(C)c2ccc(C#N)cc2)C[C@@H]3N,1,1.0,1.0,1.0,1.0,1.0,JCGAMUKFIGRQFG-BMRFCAOMSA-N
[nH]1ccnc1-c2ccc(cc2)OCCCN3CCCCC3,1,1.0,1.0,1.0,1.0,1.0,FHBHXTHCXKMLDG-UHFFFAOYSA-N
[NH+](CC\C=C/1\c2c(CCc3c\1cccc3)cccc2)(C)C,1,1.0,1.0,1.0,1.0,1.0,KRMDCWKBEZIMAB-UHFFFAOYSA-O
[S+]12[C@@H]([C@H]3N(Cc4ccccc4)C(=O)N([C@H]3C1)Cc1ccccc1)CCC2,1,1.0,1.0,1.0,1.0,1.0,CHQOEHPMXSHGCL-NNVGYOCASA-N
C[C@@H]([C@@H](O)c2ccc1NC(O)CCc1c2)N4CCC(O)(c3ccccc3)CC4,1,1.0,1.0,1.0,1.0,1.0,LJMDQOSAVJNIPL-GWGYHSHPSA-N
C[C@H]([C@H](O)c2ccc1NC(=O)CCc1c2)N4CCC(O)(c3cccc(F)c3)CC4,1,1.0,1.0,1.0,1.0,1.0,RRFPMVCMACNLJQ-QRQCRPRQSA-N
C=C6COc5cc4CCN(CCCSc3nnc(c1cccc2nc(C)ccc12)n3C)CCc4cc5N6C(C)=O,1,1.0,1.0,1.0,1.0,1.0,ICGFKYFEMYDRJY-UHFFFAOYSA-N
c12n(c(n(C)c(c1[nH]cn2)=O)=O)CC(C)C,1,1.0,1.0,1.0,1.0,1.0,APIXJSLKIYYUKG-UHFFFAOYSA-N
c1cc(C)nc(c12)cc(F)cc2N(C[C@H]3C)CCN3CCc(ccc4)c(c45)ccc(=O)n5C,1,1.0,1.0,1.0,1.0,1.0,UFYNVMLPCYILNZ-LJQANCHMSA-N
c1cc(C)nc(c12)cccc2N(CC3)C[C@@H](C)N3CCc(ccc4)c(c45)OCC(=O)N5C,1,1.0,1.0,1.0,1.0,1.0,WNZKLSJSPOZSAM-LJQANCHMSA-N
C1CC[C@@H](C)N1CCc(cc2)cc(c23)ccc(n3)-c(c(n4)C)cc(c45)cccn5,1,1.0,1.0,1.0,1.0,1.0,VLKAMDZYTNJHHG-QGZVFWFLSA-N
C1CC[C@@H](C)N1CCc(cc2)cc(c23)ccc(n3)-c(c(n4)C)cc(c4C)C(=O)N,1,1.0,1.0,1.0,1.0,1.0,CPBHHACTFPYERR-OAHLLOKOSA-N
C1CC[C@@H](C)N1CCc(cc2)cc(c23)ccc(n3)-c(c4)nc(n45)SCC5,1,1.0,1.0,1.0,1.0,1.0,UWCNFUQEKWPTHW-OAHLLOKOSA-N
C1CC[C@@H](C)N1CCc(cc2)cc(c23)ccc(n3)-c(cn4)cc(c45)OCO5,1,1.0,1.0,1.0,1.0,1.0,GGPUVZHICLSIOX-OAHLLOKOSA-N
C1CC[C@@H](C)N1CCc(cc2)cc(c23)ccc(n3)-c4[nH]ncc4,1,1.0,1.0,1.0,1.0,1.0,MNBLFGKPLGBLBJ-CQSZACIVSA-N
C1CC[C@@H](C)N1CCc(cc2)cc(c23)ccc(n3)-c4c(C(F)(F)F)nccc4O,1,1.0,1.0,1.0,1.0,1.0,SWRFDYJXSAYWRI-CQSZACIVSA-N
C1CC[C@@H](C)N1CCc(cc2)cc(c23)ccc(n3)-c4c(C)[nH]nc4C,1,1.0,1.0,1.0,1.0,1.0,VRYZIAQDGOAPGT-CQSZACIVSA-N
C1CC[C@@H](C)N1CCc(cc2)cc(c23)ccc(n3)-c4c(C)n(C)nc4,1,1.0,1.0,1.0,1.0,1.0,DTNZMCVNYXFSAS-OAHLLOKOSA-N
C1CC[C@@H](C)N1CCc(cc2)cc(c23)ccc(n3)-c4c(C)nc(o4)C,1,1.0,1.0,1.0,1.0,1.0,BZUOLQNPHMFGPW-CQSZACIVSA-N
C1CC[C@@H](C)N1CCc(cc2)cc(c23)ccc(n3)-c4c[nH]nc4,1,1.0,1.0,1.0,1.0,1.0,CBYMJXSYCPSHQC-CQSZACIVSA-N
C1CC[C@@H](C)N1CCc(cc2)cc(c23)ccc(n3)-c4cncnc4,1,1.0,1.0,1.0,1.0,1.0,IBAYEFUGCWIWRD-OAHLLOKOSA-N
c1ccc(cc1)CN(c1cccc2c1cc[nH]2)C1CCNC1,1,1.0,1.0,1.0,1.0,1.0,XKSDRPDCFRLCJY-UHFFFAOYSA-N
C1CCC(CN1)N(c1cccc2c1cc[nH]2)Cc1ccccc1,1,1.0,1.0,1.0,1.0,1.0,KTHUCECWSSNXTR-UHFFFAOYSA-N
c1ccccc1-c2ccc(cn2)N(C3)[C@@H](C4)CN([C@H]34)C,1,1.0,1.0,1.0,1.0,1.0,GDOMNXZMDUPISD-HOTGVXAUSA-N
C1CN(CCN1CCOCCO)C2=NC3=CC=CC=C3SC4=CC=CC=C42,1,1.0,1.0,1.0,1.0,1.0,URKOMYMAXPYINW-UHFFFAOYSA-N
CC#CCn1c(N2CCNCCC2)c(c2c1c(=O)n(Cc1nccc3c1cccc3)c(=O)n2C)C#N,1,1.0,1.0,1.0,1.0,1.0,NQNTUCLHZLYJJD-UHFFFAOYSA-N
CC(=O)C3=NN2c1cc(F)ccc1OC[C@H]2[C@@]3(CCCN4CCN(C(C)=O)CC4)c5ccccc5,1,1.0,1.0,1.0,1.0,1.0,BWKAHABETZLDBG-AHKZPQOWSA-N
CC(=O)N1CCC2(C1)CCCN(C2)c1ccc(cn1)C(=O)Nc1cc(ccc1N)c1cccs1,1,1.0,1.0,1.0,1.0,1.0,XEFVDOQLJDPHEO-UHFFFAOYSA-N
CC(=O)N1CCC2(C1)CCN(C2)c1ccc(cn1)C(=O)Nc1cc(ccc1N)c1cccs1,1,1.0,1.0,1.0,1.0,1.0,NMYJHEVKOMVYHA-UHFFFAOYSA-N
CC(c1ccc(cc1)OS(=O)(=O)C(F)(F)F)C(=O)NCCCN1CCCC1,1,1.0,1.0,1.0,1.0,1.0,QOASOIHGMRTDAE-UHFFFAOYSA-N
CC(c1ccc(cc1)OS(=O)(=O)C(F)(F)F)C(=O)NCCN1CCCC1,1,1.0,1.0,1.0,1.0,1.0,CWPASLOMOQBICF-UHFFFAOYSA-N
CC(OC(=O)N2CCC(CNc1ncccn1)CC2)c3ccccc3,1,1.0,1.0,1.0,1.0,1.0,IAMYDXLMYQNHNO-UHFFFAOYSA-N
CC(Oc3cccc4ncnc(Nc2ccc(OCc1ccccn1)c(Cl)c2)c34)C(=O)N(C)C,1,1.0,1.0,1.0,1.0,1.0,QPPYSOHWFOUKPX-UHFFFAOYSA-N
CC(Oc3cccc4ncnc(Nc2ccc(OCc1ccccn1)c(Cl)c2)c34)C(=O)N5CCOCC5,1,1.0,1.0,1.0,1.0,1.0,DBSISHZEFSMQPK-UHFFFAOYSA-N
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@@H]2O[C@@H](C)[C@@H]([C@](C2)(C)OC)O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C(C)C)C)[C@](C[C@H]([C@@H]([C@@H]([C@H]([C@]1(C)O)O)C)O)C)(C)O,1,1.0,1.0,1.0,1.0,1.0,RXJCJWPPKSQMAS-IRNFSOKPSA-N
CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F,1,1.0,1.0,1.0,1.0,1.0,RZEKVGVHFLEQIL-UHFFFAOYSA-N
Cc1ccc2c(n1)cccc2c1nnc(n1C)SCCC(N1CCc2c(CC1)c(Br)c1c(c2)nc(o1)C)C,1,1.0,1.0,1.0,1.0,1.0,DJHAFQLSNXBKIX-UHFFFAOYSA-N
Cc1ccc2c(n1)cccc2c1nnc(n1C)SCCCN1CCc2c(CC1)cc1c(c2)N(CCO1)C(=O)C,1,1.0,1.0,1.0,1.0,1.0,MDWSQWMMLXSJIP-UHFFFAOYSA-N
Cc1nc2c(F)cccc2c(=O)n1c1ccc(cc1)OCCCN1CCCC1,1,1.0,1.0,1.0,1.0,1.0,KXXANGOYPBGNGG-UHFFFAOYSA-N
Cc1nc2c(o1)cc1c(c2)CCN(CC1)CCCSc1nnc(n1C)c1ccc(c(c1)F)F,1,1.0,1.0,1.0,1.0,1.0,ZTSFFHIKWHSHGP-UHFFFAOYSA-N
Cc1nc2ccc(cc2c(=O)n1c1ccc(cc1)OCCCN1CCCC1)C,1,1.0,1.0,1.0,1.0,1.0,WZRDTUYSOKIWCB-UHFFFAOYSA-N
Cc1nc2cccc(c2c(=O)n1c1ccc(cc1)OCCCN1CCCC1)C(F)(F)F,1,1.0,1.0,1.0,1.0,1.0,DDDZBLNULGDPGA-UHFFFAOYSA-N
Cc1nc2ccccc2c(=O)n1c1ccc(cc1)OCCCN1CCCC1,1,1.0,1.0,1.0,1.0,1.0,PEXQMYKPVANJKN-UHFFFAOYSA-N
Cc1ncc(cn1)c1cccc2c1CC(CO2)NC(=O)c1ccc(nc1)OCC(F)(F)F,1,1.0,1.0,1.0,1.0,1.0,WHKCHEYISYPOKV-UHFFFAOYSA-N
CC1NCCN(C1)Cc1cccc(c1)c1cc(CNC(=O)c2cccc(c2)CC2CCNCC2)ccc1F,1,1.0,1.0,1.0,1.0,1.0,ZOZCBLGQKDOWFZ-UHFFFAOYSA-N
Cc3nc(N1CCCC1)nc4ccc(NC(=O)COc2ccc(Cl)cc2)cc34,1,1.0,1.0,1.0,1.0,1.0,MXDQNCXNQJMIEH-UHFFFAOYSA-N
Cc6ccc5c(c4nnc(SCCCN3CCc2cc1nc(C)oc1cc2CC3)n4C)cccc5n6,1,1.0,1.0,1.0,1.0,1.0,XQYFTHHWGHOOSS-UHFFFAOYSA-N
CCCOC(c1ccccc1)(c1ccccc1)C(=O)OC1CCN(CC1)C,1,1.0,1.0,1.0,1.0,1.0,QPCVHQBVMYCJOM-UHFFFAOYSA-N
Clc1c(cccc1Cl)OC(c1ccccn1)C1CCNC1,1,1.0,1.0,1.0,1.0,1.0,KWWVMVUZZJMGRZ-UHFFFAOYSA-N
Clc1c(OCCNCc2cccs2)ccc2c1cccc2,1,1.0,1.0,1.0,1.0,1.0,JCWJSNIUPWLSJT-UHFFFAOYSA-N
Clc1cc(cnc1N1CCN(CC1)C(=O)c1cc(ccc1OC(C(F)(F)F)C)S(=O)(=O)C)C(F)(F)F,1,1.0,1.0,1.0,1.0,1.0,UBTBYWQGFUUODC-UHFFFAOYSA-N
