smiles,InChIKey
NCCCCCc1c[nH]c2ccc(F)cc12,GBOWZEQKUVRLJV-UHFFFAOYSA-N
COc1ccc(cc1)C2(N=C(N)c3c(F)cccc23)c4cccc(c4)c5cncnc5,SMSWJWMOZMPDKT-UHFFFAOYSA-N
CCc1nc2c(N)nc3ccccc3c2n1CCCCNS(=O)(=O)C,YZOQZEXYFLXNKA-UHFFFAOYSA-N
C[C@]1(CCSC(=N1)N)c2cc(c(F)cc2F)c3cncnc3,MJQMRGWYPNIERM-HNNXBMFYSA-N
CC(C)C(NC(=O)c1ccccc1)C(=O)c2ccc(cc2)C#N,SDKINESYISJNHI-UHFFFAOYSA-N
CN[C@@H](C)C(=O)N[C@H](C(=O)N[C@H]1CCCN(CCc2ccc(Br)cc2)C1)C(C)(C)C,WXJRCVBUKYXHLD-FFZOFVMBSA-N
C[C@H](CO)Nc1nc(SCc2cccc(F)c2F)nc3[nH]c(N)nc13,VNGOAGLZSGVQHX-SSDOTTSWSA-N
COc1ccc2N=CC(=O)N(CCN3CC[C@H](NCc4ccc5OCC(=O)Nc5n4)[C@H](O)C3)c2c1,JSYFJFPXKDQANW-AZUAARDMSA-N
CCOc1ccc(cc1)N2C(=O)c3cccnc3N=C2[C@@H](C)N(CC4CCN(C)CC4)C(=O)Cc5ccc(F)c(c5)C(F)(F)F,CRCUNMKTEAUDDB-OAQYLSRUSA-N
Cc1nc(C)c(nc1C(=O)N)c2ccc(cc2)[C@@H]3CC[C@@H](CC(=O)N)CC3,AUAYEZNPJOOJDS-SHTZXODSSA-N
CC1=CN([C@H]2CCCN(C2)S(=O)(=O)c3ccc(O)c(Oc4cccc(Br)c4)c3)C(=O)NC1=O,GLYVZMPKAAPUCS-INIZCTEOSA-N
COc1ccc2c(C)cc(N[C@H]3CC[C@@H](C3)NCc4cn(C)c5ccc(cc45)C#N)nc2c1,SUMZVPSCJAYXSU-SFTDATJTSA-N
C[C@H](NC(=O)c1c(C)nn(c1NS(=O)(=O)C2CCCCC2)c3ccccc3)C(C)(C)C,OXMJHPPXJIHMMG-KRWDZBQOSA-N
COCCNC(=O)c1ccc(Nc2ncc3cc(ccc3n2)c4ccncc4)cc1,NXVFABZXYFFUBF-UHFFFAOYSA-N
C[C@H](NC(=O)c1c(C)nn(C2CCN(CC(F)(F)F)CC2)c1NS(=O)(=O)c3ccc(C)cc3)C(C)(C)C,ASROBFZJWMKUSD-SFHVURJKSA-N
C[C@H](Nc1nc(Nc2ncc(C#N)s2)cc(n1)N3CCOCC3)c4ncc(F)cn4,KMLNYUOSFLLLQP-NSHDSACASA-N
CCc1nc2c(N)nc3ccccc3c2n1CC(C)C,JFPWAHPXRLJZQR-UHFFFAOYSA-N
Clc1ccc2ncc(c3cccc(NC4CNC4)n3)n2c1,RDTAHMIMQLRAMR-UHFFFAOYSA-N
C[C@H](Nc1cnc(C)c(Nc2cc(C)[nH]n2)n1)c3ccc(F)cn3,OGOUUWVUPLCXQA-JTQLQIEISA-N
C(Cc1nc2ccccc2[nH]1)c3nc4ccccc4[nH]3,IXEHZMUOBBZTNR-UHFFFAOYSA-N
C[C@@H](CC(=O)OC(C)(C)C)NC(=O)C1=NOC(C1)C(O)(C(F)(F)F)C(F)(F)F,SBPVPWWNQIKSKL-JAVCKPHESA-N
CSc1ccc(cc1)N2C(=NC(=NC2(C)C)N)N,GYXWUBHCYWWAOK-UHFFFAOYSA-N
CCN(CCO)C(=O)c1oc2cccnc2c1c3cccc(c3)C(F)(F)F,HOHQLIVIEGJJLP-UHFFFAOYSA-N
O=C1NC(=NC(=C1)N2CCOCC2)NCc3ccccc3,JXYKWEADBAYJFZ-UHFFFAOYSA-N
FC(F)(F)c1ccc(cc1S(=O)(=O)NC2CCNCC2)S(=O)(=O)c3ccccc3,ITBGJNVZJBVPLJ-UHFFFAOYSA-N
CC(C)(N)C(=O)N[C@H](COCc1ccc(F)cc1F)C(=O)N2CCC3=NN(CC(F)(F)F)C(=O)[C@]3(Cc4ccccn4)C2,QUAJHCSLZMRTTM-JIPXPUAJSA-N
OC1(CNC(=O)c2cc(ccc2Cl)N3N=CC(=O)NC3=O)CCCCCC1,GUHUHCDILUWHDD-UHFFFAOYSA-N
CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c3cc(OC)ccc3n4c(C)nnc14,AAAQFGUYHFJNHI-SFHVURJKSA-N
CC(=O)S[C@@H]1CC2=CC(=O)CC[C@]2(C)C3CC[C@@]4(C)C(CC[C@@]45CCC(=O)O5)C13,LXMSZDCAJNLERA-LJODGORCSA-N
Nc1ncnc2c1ncn2[C@@H]3O[C@H](CSCCCNC(=O)Nc4ccc(Cl)cc4)[C@@H](O)[C@H]3O,JHOPUUXSVMTKFA-NVQRDWNXSA-N
