"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Np Likeness Score";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key"
"CHEMBL2093094";"Al complex";"";"Small molecule";"";"766.28";"3";"6";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"NONE";"-1";"None";"None";"None";"None";"764.9910";"None";"None";"C18H26CuN10O12S4";"";""
"CHEMBL3658435";"";"";"Small molecule";"";"586.67";"1";"1";"4.40";"112.68";"7";"2";"1";"7";"N";"0.33";"13.21";"5.36";"3.40";"3.39";"4";"MOL";"-1";"43";"10";"2";"1";"586.2704";"-1.39";"NEUTRAL";"C32H35FN6O4";"COc1cccc(F)c1CN1C[C@H](NC(=O)c2ccc3[nH]nc(-c4ccnc(C)c4)c3c2)CC[C@H]1C(=O)N1CCCCO1";"MVBFWAZGGLSBGZ-LXFBAYGMSA-N"
"CHEMBL406299";"Fe complex";"";"Small molecule";"";"828.70";"1";"1";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"NONE";"-1";"None";"None";"None";"None";"828.2554";"None";"None";"C43H44FeN6O8+3";"";""
"CHEMBL413616";"";"";"Small molecule";"";"1381.77";"1";"1";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"MOL";"-1";"None";"None";"None";"None";"1380.7562";"None";"None";"C84H100N8O10";"CCC1=C(CC)c2cc3[nH]c(cc4[nH]c(cc5nc(cc1n2)C(=O)C5(CC)CC)c(CC)c4CC)C1(CC)C3=CCC(C(=O)OC)=C1C(=O)OC.CCC1=C(CC)c2cc3[nH]c(cc4[nH]c(cc5nc(cc1n2)C1=CCC(C(=O)OC)=C(C(=O)OC)C15CC)c(CC)c4CC)C(=O)C3(CC)CC";"XSYMDGAKNBOWFP-LOZLICGCSA-N"
"CHEMBL3946243";"";"";"Small molecule";"";"478.45";"1";"1";"4.47";"94.59";"6";"1";"0";"7";"N";"0.50";"13.63";"4.84";"4.58";"4.58";"3";"MOL";"-1";"33";"7";"1";"0";"478.0810";"-1.43";"NEUTRAL";"C22H17F3N2O5S";"COc1ccc(OC(F)(F)F)cc1S(=O)(=O)c1ccc(NC(=O)/C=C/c2cccnc2)cc1";"ZXFPXCPRQLYXGK-NYYWCZLTSA-N"
"CHEMBL1795060";"";"";"Small molecule";"";"710.09";"3";"3";"-5.10";"295.90";"16";"4";"2";"13";"N";"0.16";"3.13";"5.32";"-3.26";"-10.06";"2";"MOL";"-1";"40";"20";"6";"3";"644.0560";"-0.87";"ACID";"C16H24N10O10S4Zn";"Cn1nc(S(N)(=O)=O)s/c1=N/C(=O)CN(CCN(CC(=O)O)CC(=O)/N=c1/sc(S(N)(=O)=O)nn1C)CC(=O)O.[Zn]";"MTUXCJUNLKRHCD-WKLZLTIDSA-N"
"CHEMBL3654592";"";"";"Small molecule";"";"544.66";"1";"2";"4.70";"103.01";"5";"3";"1";"8";"N";"0.26";"13.20";"6.56";"4.23";"4.17";"5";"MOL";"-1";"41";"8";"3";"1";"544.2587";"-1.33";"NEUTRAL";"C33H32N6O2";"O=C(N[C@@H]1CC[C@@H](C(=O)NCc2ccccc2)N(Cc2ccccc2)C1)c1ccc2[nH]nc(-c3ccncc3)c2c1";"RRMIDCKHZVDROT-OFSOJUDTSA-N"
"CHEMBL318307";"Fe complex";"";"Small molecule";"";"715.55";"1";"1";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"NONE";"-1";"None";"None";"None";"None";"715.1825";"None";"None";"C36H33FeN7O6+3";"";""
"CHEMBL4115743";"";"";"Unknown";"";"";"1";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"-1";"";"";"";"";"";"";"";"";"";""
"CHEMBL434841";"";"";"Small molecule";"";"552.67";"3";"3";"4.85";"43.70";"5";"0";"0";"5";"N";"0.50";"None";"7.91";"4.30";"3.68";"2";"MOL";"-1";"32";"5";"0";"0";"436.2726";"0.31";"NEUTRAL";"C31H40N2O7";"CO[C@H]1CC[C@H](C(=O)OCC2=C[C@@H]3c4cccc5c4c(cn5C(C)C)C[C@H]3N(C)C2)CC1.O=C(O)/C=C\C(=O)O";"WTLVFGCSJBJUQJ-OHRLZUCGSA-N"
"CHEMBL347083";"";"";"Small molecule";"";"368.82";"5";"5";"2.18";"36.36";"3";"1";"0";"1";"Y";"0.78";"13.75";"8.81";"1.29";"-0.14";"1";"MOL";"-1";"17";"3";"1";"0";"252.1029";"-0.11";"BASE";"C17H21ClN2O5";"CN1C2CCC1CC(O)(c1ccc(Cl)nc1)C2.O=C(O)/C=C\C(=O)O";"NPEMWMALPZDNGY-BTJKTKAUSA-N"
