aids,canonicalsmiles
14-,5S)-5-ethenyl-1-azabicyclo[2.2.2]octan-2-yl](6-methoxyquinolin-4-yl)methanol"
C20H24N2O2,4S
19-20, SULFATE
RONWGALEIBILOG-UMFZPAAKSA-N,"InChI=1S/2C20H24N2O2.H2O4S/c2*1-3-13-12-22-9-7-14(13)10-19(22)20(23)16-6-8-21-18-5-4-15(24-2)11-17(16)18;1-5(2
5,8
5R)-5-ethenyl-1-azabicyclo[2.2.2]octan-2-yl]-(6-methoxyquinolin-4-yl)methanol;sulfuric acid",8
"(S)-[(2R,3)4/h3-6
C40H54N4O10S, dihydrate|(S)-(6-methoxyquinolin-4-yl)((1S
3,8
RONWGALEIBILOG-XISHNXTCSA-N,"InChI=1S/2C20H24N2O2.H2O4S/c2*1-3-13-12-22-9-7-14(13)10-19(22)20(23)16-6-8-21-18-5-4-15(24-2)11-17(16)18;1-5(2
0,19
21, (E)-|BSPBio_001560|BSPBio_003586|MLS000859889|MLS002207297|Caffeic acid-phenylethyl ester|SPECTRUM1502209|2-phenylethyl 3-(3
9, beta- alcohol|2-(2-Hydroxyethyl)benzene|SCHEMBL1838|WLN: Q2R|MLS001066349|MLS001336026|FEMA NUMBER 2858.|PHENETHYL ALCOHOL [MI]|Phenethyl alcohol
5-dione,5-Divanillyliden-2
7,9
 4,6-di-tert-butylphenol)|P3CTH044XJ|NSC-86225|NSC-652160|BRN 2026253|Probucol (Standard)|CHEBI:8427|DTXSID2045440|CHEMBL608|4
6,[O-2]
6]naphthyridin-10-one,(S)|1212383-03-3|SMR000543093|Pachycarpidine|(7aS
13aR,1'-IJ)(1
 DODECAHYDRO-,2R
8,7)]tetraarsoxane|SBI-0206862.P001|2
 (7AR-(7A.ALPHA.,13bR)-Dodecahydro-1H-dipyrido[2
588834|651631|651632|651633|651634|652048|652051|686978|686979|720516|720532|720533|720552|720634|720635|720637|720674|720675|720678|720679|720680|720681|720682|720683|720684|720685|720686|720687|720691|720692|720693|720719|720725|743012|743014|743015|743033|743035|743036|743040|743041|743042|743053|743054|743063|743064|743065|743066|743067|743069|743074|743075|743077|743078|743079|743080|743081|743083|743084|743085|743086|743091|743094|743122|743139|743140|743244|1259251|1259344|1259355|1259356|1259407|1259408|1259411|1296008|1345199|1346983|1346984|1346985|1346986|1346987|1645882|1645883|1645886|1645887|1745844,[O-2].[O-2].[O-2].[As+3].[As+3]
InChI=1S/As2O3/c3-1-5-2-4, ReagentPlus(R)
49)(H,260.000
3-dimethylbutanoyl]amino]-4-phenylbutyl]-2-[(4-pyridin-2-ylphenyl)methyl]hydrazinyl]-3, dimethyl ester
AXRYRYVKAWYZBR-HWOXFOCPSA-N,"InChI=1S/C38H52N6O7/c1-37(2
11-dioxo-6-(p-2-pyridylbenzyl)-2,9S
9S, 3
 (3S, 6-((1
393,"InChI=1S/C5H5ClN2/c6-4-1-2-8-5(7)3-4/h1-3H
 (3S,10
AXRYRYVKAWYZBR-KIHBOBKYSA-N,"InChI=1S/C38H52N6O7/c1-37(2
2,2
