smiles,InChiKey
,
COc1cccc(F)c1CN1C[C@H](NC(=O)c2ccc3[nH]nc(-c4ccnc(C)c4)c3c2)CC[C@H]1C(=O)N1CCCCO1,MVBFWAZGGLSBGZ-LXFBAYGMSA-N
,
CCC1=C(CC)c2cc3[nH]c(cc4[nH]c(cc5nc(cc1n2)C(=O)C5(CC)CC)c(CC)c4CC)C1(CC)C3=CCC(C(=O)OC)=C1C(=O)OC.CCC1=C(CC)c2cc3[nH]c(cc4[nH]c(cc5nc(cc1n2)C1=CCC(C(=O)OC)=C(C(=O)OC)C15CC)c(CC)c4CC)C(=O)C3(CC)CC,XSYMDGAKNBOWFP-LOZLICGCSA-N
COc1ccc(OC(F)(F)F)cc1S(=O)(=O)c1ccc(NC(=O)/C=C/c2cccnc2)cc1,ZXFPXCPRQLYXGK-NYYWCZLTSA-N
Cn1nc(S(N)(=O)=O)s/c1=N/C(=O)CN(CCN(CC(=O)O)CC(=O)/N=c1/sc(S(N)(=O)=O)nn1C)CC(=O)O.[Zn],MTUXCJUNLKRHCD-WKLZLTIDSA-N
O=C(N[C@@H]1CC[C@@H](C(=O)NCc2ccccc2)N(Cc2ccccc2)C1)c1ccc2[nH]nc(-c3ccncc3)c2c1,RRMIDCKHZVDROT-OFSOJUDTSA-N
,
,
CO[C@H]1CC[C@H](C(=O)OCC2=C[C@@H]3c4cccc5c4c(cn5C(C)C)C[C@H]3N(C)C2)CC1.O=C(O)/C=C\C(=O)O,WTLVFGCSJBJUQJ-OHRLZUCGSA-N
CN1C2CCC1CC(O)(c1ccc(Cl)nc1)C2.O=C(O)/C=C\C(=O)O,NPEMWMALPZDNGY-BTJKTKAUSA-N
Cc1cc(F)c(C(=O)N2CC3CNCC(C3)C2)o1,HQBZVCMGBISGLU-UHFFFAOYSA-N
CN(C)C1CCN(Cc2cc(-c3cc(NC4CC4)n4ncc(/C=C5\NC(=O)NC5=O)c4n3)cs2)C1,KYFVFBPUOVBQRB-ZBKNUEDVSA-N
CC(Nc1nc(NC2CC2)n2ncc(/C=C3\NC(=O)NC3=O)c2n1)c1ccc(F)c(F)c1,NGIWXHCDWOYZCL-CHHVJCJISA-N
COc1cc(C)c(-c2ccc3oc(-c4ccc(F)cc4)c(-c4ncc[nH]4)c3c2F)cc1C(=O)NC1(c2ncccn2)CC1,UZFGKZXYIPITCX-UHFFFAOYSA-N
CC(c1nccs1)c1ccc(O)cc1O,SXJUUBNAKFAGIA-UHFFFAOYSA-N
O=C1NC(=O)/C(=C/c2cnn3c(NC4CC4)nc(NCc4cnccn4)nc23)N1,CFHUUJKXRXOBTI-XGICHPGQSA-N
O=C1NC(=O)/C(=C/c2cnn3c(NC4CC4)nc(NCc4cc(C(F)(F)F)ccc4Cl)nc23)N1,YSIRJMUKYVJFOS-NSIKDUERSA-N
O=C1NC(=O)/C(=C/c2cnn3c(NC4CC4)cc(NC(=O)C4CC4)nc23)N1,UBYVOQDIVWWYHS-WZUFQYTHSA-N
Cn1ccnc1CNC(=O)c1ccc(-c2cc(NC3CC3)n3ncc(/C=C4\NC(=O)NC4=O)c3n2)s1,RXDQFSLUVWCXJL-NVNXTCNLSA-N
O=C1NC(=O)/C(=C/c2cnn3c(NC4CC4)nc(N[C@H]4c5ccccc5C[C@H]4O)nc23)N1,IFVKGXXFFHIRNY-QAIKFOBFSA-N
C[C@H](Nc1nc(NC2CC2)n2ncc(/C=C3\NC(=O)NC3=O)c2n1)c1cccc(Cl)c1,ROWOHQPHJFJFOF-SOOGHKCXSA-N
Nc1ccc(-c2ccccc2)cc1NC(=O)c1ccc2nn(CCN3CCOCC3)cc2c1,SNIFKKNDWDZVIA-UHFFFAOYSA-N
CC(C)N1CCN(C(=O)c2ccc(-c3cc(NC4CC4)n4ncc(/C=C5\NC(=O)NC5=O)c4n3)s2)CC1,OMMIEGNWYXIZPX-WQRHYEAKSA-N
COc1ccnc(COc2nc(NC3CC3)n3ncc(/C=C4\NC(=O)NC4=O)c3n2)c1,FCFZPSYAFYOHPF-NSIKDUERSA-N
CS(=O)(=O)O.N=C(N)NC(=O)c1cc2c(C(F)(F)F)cccc2s1,MTOWXMFPENDPMK-UHFFFAOYSA-N
COCCNc1ncc2c(n1)c(Nc1ccccc1)nc1cc(C(=O)O)ccc12,BIWVYLZTDPJSTO-UHFFFAOYSA-N
COc1cccc(Nc2nc3cc(C(=O)O)ccc3c3cnc(NC4CC4)nc23)c1,SQLDRRNNJHIBLL-UHFFFAOYSA-N
O=C1NC(=O)/C(=C/c2cnn3c(NC4CC4)cc(-c4cccc(OCC5=NCCN5)c4)nc23)N1,HRDNKNMDOIXOCX-NVMNQCDNSA-N
O=C1NC(=O)/C(=C/c2cnn3c(NC4CC4)nc(NCCCN4CCOCC4)nc23)N1,SNLSPSNOPDQAMY-UVTDQMKNSA-N
CNCCOC(c1ccccc1)c1ccccc1C.Cl,YAXWIYFUVISXRS-UHFFFAOYSA-N
CC(C)(C)OC(=O)N1CCN(c2ccc(Nc3cc(NC4CC4)n4ncc(/C=C5\NC(=O)NC5=O)c4n3)cc2)CC1,QJOPXXWJXPZOEF-STZFKDTASA-N
Cc1cc(-c2n[nH]c3ccc(C(=O)N[C@@H]4CCCN(Cc5scnc5C)C4)cc23)ccn1,FOOHMVMINYATPD-LJQANCHMSA-N
c1cnc2c(c1)CCC[C@@H]2N(CCCN1CCNCC1)Cc1nccc2c3ccccc3n(CCN3CCOCC3)c12,GXPPYEGXOSWLLT-YTTGMZPUSA-N
O=C1NC(=O)/C(=C/c2cnn3c(NC4CC4)cc(-c4ccc(CN5CCOCC5)s4)nc23)N1,OYOCDZLFPKERPX-MFOYZWKCSA-N
COc1cccc(F)c1CN1C[C@H](NC(=O)c2ccc3[nH]nc(-c4ccnc(C)c4)c3c2)CC[C@H]1C(=O)N1CCNCC1,STXWDYNBQAITLF-LXFBAYGMSA-N
O=C1NC(=O)/C(=C/c2cnn3c(NCC(F)(F)F)nc(Nc4cccc(OCCN5CCOCC5)c4)nc23)N1,FWOSSSXDDIHFQA-YVLHZVERSA-N
CC(C)(C)OC(=O)NC1CCC(Nc2cc(N(C(=O)OC(C)(C)C)C3CC3)n3ncc(/C=C4\NC(=O)NC4=O)c3n2)CC1,PXTAVDKANMIAFJ-MOSHPQCFSA-N
Cn1ccnc1SCc1nccn1Cc1ccc(Cl)cc1,TVOUKZRXMHAVLD-UHFFFAOYSA-N
CCNC(=O)c1cccc(S(=O)(=O)c2ccc(NC(=O)/C=C/c3cccnc3)cc2)c1,OSYMQEGRXNSZOH-MDWZMJQESA-N
CN1CCN(C(=O)Cn2c3ccccc3c3ccnc(CN(CCCCN)[C@H]4CCCc5cccnc54)c32)CC1,JQTHZRINXVEAFM-LJAQVGFWSA-N
CN1CCCN(c2cc(NC3CC3)n3ncc(/C=C4\NC(=O)NC4=O)c3n2)CC1,NUXLYAVZLRYYEX-ZROIWOOFSA-N
O=C(O)[C@@H]1CCCN1C(=O)c1cccc(COc2ccc(-c3cc(F)c(F)c4[nH]ccc34)cc2)c1,XCXQHPOQSAMEIW-QHCPKHFHSA-N
CNc1ncc2c(n1)c(Nc1ccccc1)nc1cc(C(=O)O)ccc12,KWIKUKWCLKBUMA-UHFFFAOYSA-N
CC1(C)S[C@@H]2[C@H](/N=C/N3CCCCCC3)C(=O)N2[C@H]1C(=O)O.CCOC(=O)c1cn(C[C@@]2(C)[C@H](C(=O)[O-])C3C(=O)CC3S2(=O)=O)nn1.[Na+],YMUZGOHVSPAIHK-GIKYSIBBSA-M
,
N#Cc1c(SCc2ccccc2)nc2c(c1/C=C\c1ccccc1)CCC2,NIFCFECVMACLAR-PFONDFGASA-N
Cl.O.O=C([O-])CCCCCCC/N=C/N1CCC(C(c2ccccc2)c2ccccc2)CC1.O=C([O-])CCCCCCC/N=C/N1CCC(C(c2ccccc2)c2ccccc2)CC1.[Zn+2],RKMVEJCAYRGPSQ-AVVDOIPCSA-L
,
O=C1NC(=O)/C(=C/c2cnn3c(NC4CC4)cc(NC4CCC(F)(F)CC4)nc23)N1,POFRUQZCHGAJQU-QPEQYQDCSA-N
CC1(C)S[C@@H]2[C@H](/N=C/N3CCCCCC3)C(=O)N2[C@H]1C(=O)O.C[C@]1(Cn2nncc2C(=O)[O-])[C@H](C(=O)[O-])C2C(=O)CC2S1(=O)=O.[K+].[K+],XDZIEJFVFXXJNP-VEGYFROUSA-L
O=C(/C=C/c1cccnc1)Nc1ccc(S(=O)(=O)c2cc(Cl)cc(Cl)c2)cc1,JMZGFBFOGNMWGS-FPYGCLRLSA-N
O=C(NO)c1ccc(C(c2ccccc2)c2ccccc2)cc1,VWTWHLMXOAVDTP-UHFFFAOYSA-N
CC(C)(C)c1csc(NC(=O)CCc2csc3ccccc23)n1,MKZKUDUGLVQEBH-UHFFFAOYSA-N
,
,
CCCCCCCC/N=C/N1CCC(C(c2ccccc2)c2ccc(O)cc2)CC1.O=S(=O)(O)c1ccc2ccccc2c1,AKWHYGRMHWTPJR-GVWDPOEBSA-N
C#CC(=O)N(c1cccc(F)c1)C(C(=O)NCc1ccccc1)c1cccc(N)c1,HCVZFFXTYLZFLB-UHFFFAOYSA-N
C#CC(=O)N(c1ccc(NS(C)(=O)=O)cc1)C(C(=O)NC(C)(C)C)c1cccc(N)c1,IAMMBHSELYFNDR-UHFFFAOYSA-N
COc1cc(SCc2ccc(CN(C)C)o2)ccc1Nc1ncc(Cl)c(Nc2ccccc2NS(C)(=O)=O)n1,IVWSMDDTFYCVFZ-UHFFFAOYSA-N
COc1ccc(C(Nc2cc(-c3ccc4ccn(C)c4c3)c3nccnc3c2)c2cnnn2C)cn1,MZUHOFZPDUAMNB-UHFFFAOYSA-N
Cn1ncc2cc(N(C(=O)CCBr)C3(C(=O)NCc4ccccc4)CCOCC3)ccc21,QBFJKDXXJCJFKX-UHFFFAOYSA-N
C=CC(=O)N(c1ccc(OC)c(Cl)c1)C(C(=O)NCc1ccccc1)c1cccc(N)c1,NFRUDZMULZIQGX-UHFFFAOYSA-N
Cc1ccc(C(=O)n2nc(-c3cccnc3)nc2N)cc1,BIEYFOHSWAIQDF-UHFFFAOYSA-N
CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,VSJKWCGYPAHWDS-FQEVSTJZSA-N
O=C1NC(=O)/C(=C/c2cnn3c(NC4CC4)nc(NCc4cc(F)ccc4Cl)nc23)N1,ROAAEOQZSHLOOP-NSIKDUERSA-N
CC1CN(c2cc(NC3CC3)n3ncc(/C=C4\NC(=O)NC4=O)c3n2)CC(C)O1,JUZRZVLSARUZCF-RZNTYIFUSA-N
O=C(/C=C/c1ccccc1Cl)c1cccnc1,UYDZUMJCHXHXMM-BQYQJAHWSA-N
[2H]C([2H])([2H])c1ccc(C(=O)C(C)CN2CCCCC2)cc1,FSKFPVLPFLJRQB-FIBGUPNXSA-N
COCC1CCCCN1C(=O)c1ccc(-c2cc(NC3CC3)n3ncc(/C=C4\NC(=O)NC4=O)c3n2)s1,HKBAJSHQGBBIOQ-ZDLGFXPLSA-N
COc1ccccc1Nc1nc2cc(C(=O)O)ccc2c2sccc12,BBZGEAPHXBPJLR-UHFFFAOYSA-N
O=C1Nc2cc(Cl)ccc2N(C(=O)CN(CCO)CCO)c2ccccc21,DDBKYWMANNIJRH-UHFFFAOYSA-N
C[C@H](CCc1ccc(O)cc1)NC[C@H](O)c1ccc(O)cc1,YJQZYXCXBBCEAQ-ACJLOTCBSA-N
COc1ccc2c(c1)C(N1CCN(C)CC1)=Cc1ccccc1O2,GXGQMMZHTFRNBT-UHFFFAOYSA-N
COc1cccc(F)c1CN1CCC[C@@H](NC(=O)c2ccc3[nH]nc(C4CCOCC4)c3c2)C1,PBIQTUVJVOHWAF-LJQANCHMSA-N
CN[C@H](Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)N[C@H](C=O)CCCNC(=N)N.O=S(=O)(O)O,BISKEOIROPAOGY-RXQQAGQTSA-N
CN(Cc1ccc([N+](=O)[O-])cc1)N=O,ILORRQUFQKFPBB-UHFFFAOYSA-N
COc1cccc2c1O[C@@H]1[C@H](C2)C(=O)[C@@H]2Cc3cccc(OC)c3O[C@@H]2C1(C)C,MTJTVTZUEKVNTG-YJEDKTMASA-N
Cc1c(-c2ccccc2)n(/N=N/n2c(-c3ccccc3)c(C)[n+]3ccccc23)c2cccc[n+]12,NJAGGYXZTILBMJ-QVIHXGFCSA-N
CN(Cc1ccc(C#N)cc1)N=O,QBSLDCANAUJINC-UHFFFAOYSA-N
